Filename,Avg_Peak_to_Peak_1st_MFCC,Avg_Peak_to_Peak_2nd_MFCC
"Aane Wala Pal Jane Wala Hai   Kishore Kumar  Gol Maal 1979 Songs । Amol Palekar, Bindiya Goswami_MFCC.csv",3.2309783738476363,2.2215176362110296
AGAR TUM NA HOTE - KISHORE - OLD MELODIES HINDI_MFCC.csv,7.881940004027161,3.059618996061812
Blackmail - Pal Pal Dil Ke Paas Tum Rehti Ho - Kishore Kumar_MFCC.csv,4.91813206779536,1.9880329134299732
Chala Jata Hoon  Rajesh Khanna  Kishore Kumar  R.D. Burman  Mere Jeevan Saathi  Old Is Gold_MFCC.csv,5.1727391725437535,2.724677086501473
"Chalte Chalte Mere Yeh Geet - Full Video  Kishore Kumar  Vishal Anand, Simi Garewal_MFCC.csv",4.8101346778247684,2.0973881196137887
Chookar Mere Mann Ko Kiya Tune Kya Ishara  Kishore Kumar  Yaarana 1981 Songs Amitabh Bachchan_MFCC.csv,5.429568675204074,3.2650052043488356
"Dil Aaj Shayar Hai  Kishore Kumar  Gambler  1971 Songs  Dev Anand, Zaheeda_MFCC.csv",4.03123986145288,2.3141819906468153
"Dil Kya Kare Jab Kissise  4K Video  Julie (1975)  Laxmi Narayan, Vikram, Sridevi  Kishore Kumar_MFCC.csv",4.942988451310441,2.7919209979006205
"Dilbar Mere Kab Tak Mujhe  Kishore Kumar Satte Pe Satta 1982 Songs  Amitabh Bachchan, Hema Malini_MFCC.csv",6.17207809734943,3.134786688096935
"Ek Ajnabee Haseena Se  4K Video  Ajanabee  Rajesh Khanna, Zeenat Aman  Kishore Kumar  90s Hits_MFCC.csv",5.652585186353742,2.9578078055962327
"Gata Rahe Mera Dil  Guide  Dev Anand, Waheeda Rehman  Lata Mangeshkar, Kishore Kumar_MFCC.csv",4.718913533473408,2.9284104687005894
Hawa Ke Saath Saath  Seeta Aur Geeta (1972)  Hema Malini  Sanjeev Kumar  Popular Bollywood Song_MFCC.csv,6.203174410729151,3.210365975568438
"Hum Bewafa Hargiz Na Thay (Official Lyric Video)  Kishore Kumar  Dharmendra, Zeenat Aman Shalimar_MFCC.csv",4.93365326116965,2.5763861838816546
Hum Kisise Kum Naheen (1977) Bachna Aye Hasseno Yeh Mein Aa Gaya_MFCC.csv,6.4530534296919475,3.14541309160921
"Humen Tumse Pyar Kitna  Kudrat  Rajesh Khanna, Hema Malini  Kishore KumarFilmfare Awards Winner_MFCC.csv",4.522279495807183,2.0038865577764886
"Jai Jai Shiv Shankar  Lata Mangeshkar, Kishore Kumar  Aap Ki Kasam 1974 Songs  Rajesh Khanna_MFCC.csv",5.842599941697221,3.164359953073696
JEEVAN KE HAR MOD PE - KISHORE - JHOOTA KAHIN KA_MFCC.csv,5.743556988496136,2.6875782801748933
Khaike Paan Banaras Wala  Don  Amitabh Bachchan & Zeenat Aman  Kishore Kumar_MFCC.csv,5.340010640532469,3.3189699618565567
Khilte Hain Gul Yahan - Kishore Kumar - Sharmilee (1971) - HD_MFCC.csv,4.230313712505232,2.470505161018276
Kora Kagaz Tha Yeh Man Mera 4K Video Song  Lata Mangeshkar Kishore Kumar  Aradhana Rajesh Khanna_MFCC.csv,5.415715189942497,2.8630009599274806
Kuchh Toh Log Kahenge Song  4K Ultra HD  Rajesh Khanna  Kishore Kumar  Sharmila Tagore_MFCC.csv,2.690010284184514,1.8899687445313933
Main Hoon Jhoom Jhoom Jhumroo - Kishore Kumar - Madhubala - Jhumroo Song - Fun Song_MFCC.csv,7.714068721158942,3.178057819298039
"Mere Dil Mein Aaj Kya Hai  Full Song  Daag  Rajesh Khanna, Sharmila Tagore  Kishore Kumar_MFCC.csv",5.323068731127339,2.473917504564126
Mere Mehboob Qayamat Hogi  (Original) - Mr. X In Bombay - Kishore Kumar's Greatest Hits - Old Songs_MFCC.csv,5.350623665245021,2.8886905584083253
Mere Sapno Ki Rani 4K Song  मेरे सपनो की रानी  आराधना  राजेश खन्ना - शर्मिला टैगोर - किशोर कुमार_MFCC.csv,6.181133161837711,3.040640311868174
MUSAFIR HOON YARON 4k - Kishore Kumar HITS - Jeetendra - Parichay Movie Songs - R.D. Burman_MFCC.csv,4.8653646583981836,2.670320726580739
Namak Halaal  - Ke Pag Ghunghroo Bandh Meera - Kishore Kumar - Chorus_MFCC.csv,5.479906003023319,3.062989565615939
O Majhi Re Apna Kinara with lyrics  ओह माझी रे अपना किनारा के बोल  Kishore Kumar_MFCC.csv,3.312493326175407,2.1713649551412746
O MERE DIL KE CHAIN - Rajesh Khanna-Kishore Kumar Romantic Song - Tanuja - Mere Jeevan Saathi Songs_MFCC.csv,5.117025010920661,2.562313990797705
O mere sona re sona  English Lyrics Video  Teesri Manzil  Shammi Kapoor  Asha Parekh  (1966) _MFCC.csv,6.3490972658792835,3.377210052053149
O Saathi Re Tere Bina (Male) Full 4K Video  Muqaddar ka Sikandar  RekhaAmitabh  Kishore Kumar_MFCC.csv,4.470479448173139,2.86601183968248
Phoolon Ke Rang Se with lyrics  फूलों के रंग से के बोल  Kishore Kumar_MFCC.csv,4.571841739490696,2.385426316829887
Pyar Deewana Hota Hai 4K Song  Kishore Kumar Classics  Rajesh Khanna  Hindi Romantic-Kati Patang_MFCC.csv,4.119780726321657,2.3221452531406768
"Pyar Manga Hai Tumhi Se (Lyrics) - Kishore Kumar, Bappi Lahiri #RIP  College Girl_MFCC.csv",3.6120881594822167,1.903376411244816
Rajesh Khanna aur Zeenat Aman  Bheegi Bheegi Raaton Mein (4K) Kishore Kumar-Lata Mangeshkar's Songs_MFCC.csv,5.470689614867517,3.087583961182532
RIMJHIM GIRE SAWAN - KISHORE KUMAR - OLD MELODIES HINDI_MFCC.csv,3.480990818468098,2.0001881325517172
Roop Tera Mastana 4K Song  Aradhana Movie  Rajesh Khanna  Sharmila Tagore  Kishore Kumar_MFCC.csv,5.847912072881181,2.8194202988541344
Saagar kinare (Lyrical Video)  Kishore Kumar  Lata Mangeshkar  Saagar_MFCC.csv,6.288151925242022,3.288700975479562
"Tum Aa Gaye Ho Noor Aa Gaya Hai  Lata Mangeshkar, Kishore Kumar  Aandhi 1975 Songs  Sanjeev Kumar_MFCC.csv",3.702531973859597,2.1616693954013626
"Yeh Jeevan Hai Is Jeevan Ka Video Song  Piya Ka Ghar  Jaya Bachchan, Anil Dhawan  Kishore Kumar_MFCC.csv",3.884428076420054,2.1449144978843444
Yeh Ratein Yeh Mausam  Dilli Ka Thug (1958)  Nutan  Asha Bhosle  Kishore Kumar Hit Songs_MFCC.csv,4.968523159323649,2.6442761072279115
Yeh Shaam Mastani 4K  Kishore Kumar  Rajesh Khanna  Kati Patang  Classic Bollywood 4K Video Song_MFCC.csv,3.247637829700337,2.333997668993684
Zindagi Ek Safar Hai Suhana - Lyrical  Kishore Kumar  Hema Malini  Rajesh Khanna  Andaz (1971)_MFCC.csv,5.556813602422499,2.934957140059402
Zindagi Ke Safar Mein Guzar Jaate  Kishore Kumar  Aap Ki Kasam 1974 Songs_MFCC.csv,3.915577803374967,2.313800592692001
आपकी आँखों में कुछ  Aapki Ankhon Mein Kuch with lyrics  Ghar  Vinod Mehra  Rekha_MFCC.csv,5.241705354259133,2.5895722729515196
"इक लड़की भीगी भागी सी HD - चलती का नाम गाड़ी - किशोर कुमार, मधुबाला - Old Is Gold_MFCC.csv",5.171509799178924,3.40728322343034
"मेरे नैना सावन भादों [HD] Kishore Kumar Old Hindi Songs  Rajesh Khanna, Hema Malini  Mehbooba 1976_MFCC.csv",3.5484304838354612,1.8193151037297943
ये जो मोहब्बत है  Yeh Jo Mohabbat Hai 4K Video Song  राजेश खन्ना - किशोर कुमार  Kati Patang Song_MFCC.csv,4.167241450313808,2.321133099529289
