File_Number,KMeans_Cluster,KMeans_Likelihood,GMM_Cluster,GMM_Likelihood,Agglomerative_Cluster,Agglomerative_Likelihood
1,5,0.46290359700726275,5,0.9999999999997575,1,0.6176813213051833
2,5,0.5600537596932645,5,1.0,1,0.6456009700831632
3,1,0.37006532221016425,1,1.0,5,0.7516728075146399
4,4,0.3281517491932477,4,0.9999999999945786,2,0.6314684534077016
5,6,0.3666965428195406,6,0.9999999800183661,4,0.6789939554967597
6,4,0.3347128643031512,4,0.9999999999843387,2,0.6106267759936405
7,4,0.3433240165086464,4,0.9999996712440063,3,0.5011901463223482
8,3,0.34271120806307015,3,1.0,2,0.5578086728067085
9,2,0.2812891350536118,2,1.0,3,0.5513016207726077
10,2,0.27993118590855337,5,0.9999999967915585,2,0.4589043364963458
11,4,0.3783842399838332,4,0.9999984266549196,2,0.7151339756650215
12,3,0.30753375764405,3,0.9999998480822221,1,0.44456102178108964
13,4,0.48051916338807826,4,0.9999999684145565,2,0.7055551655900933
14,4,0.1274908644687286,4,1.0,2,0.5412019595491806
15,4,0.40566060017378136,4,0.99999999986251,2,0.6576317060666305
16,5,0.1633286289802874,5,1.0,1,0.5871200873674561
17,5,0.3268660114994267,5,0.9999963670984416,1,0.6326643772162266
18,6,0.29866575178782695,6,1.0,4,0.6187591766160437
19,4,0.32854712003564657,4,1.0,2,0.6080150365418898
20,1,0.4756244871096827,1,1.0,5,0.8099597611095892
21,4,0.4425840329955948,4,0.9999999998754303,2,0.6816866890153317
22,4,0.4676232331233514,4,0.9999977096048831,2,0.7119325744129417
23,2,0.4131918971156573,2,0.9999798140129462,3,0.5818957843477532
24,3,0.3534835583046997,3,0.9998721206721171,1,0.4190872301717253
25,4,0.4025138657452041,4,1.0,2,0.6484840142267545
26,6,0.28884700274919756,6,1.0,4,0.7356219707077576
27,5,0.2766471226544967,5,1.0,1,0.6004950783242511
28,2,0.33410885105015764,2,1.0,3,0.5368972797799442
29,2,0.2809953112600787,2,1.0,3,0.5512294923677404
30,4,0.38835599122057574,4,1.0,2,0.673531069128361
31,5,0.32230598036148234,5,0.9999999999041727,1,0.6204972381142625
32,3,0.44341617852897935,3,0.9993230918121722,1,0.3751052531776431
33,4,0.3521815245361575,4,0.9999999748083551,3,0.4472609766917677
34,3,0.25415962935618414,3,1.0,1,0.5122612020914064
35,5,0.4541488581032218,5,0.9999998681910764,1,0.6032706838306856
36,4,0.44147260250732656,4,0.9996099434226703,2,0.6546950204381631
37,4,0.4924136600438962,4,0.9999999997741444,2,0.7295091181976799
38,2,0.3432974846867732,2,0.9999999996178746,3,0.6128020201510687
39,4,0.48495131252208,4,0.9999999997105085,2,0.733009123226467
40,2,0.29511281170460885,2,0.9999988895960384,3,0.5715383589295056
41,3,0.49129278970552454,4,0.9997943685928463,2,0.705655389818742
42,4,0.4095959470987292,4,0.9999954422019985,2,0.6354271656293674
43,4,0.5141597755733182,2,1.0,2,0.6827195812525855
44,1,0.450080092978581,1,1.0,5,0.8091941636765181
45,5,0.243555839151092,5,1.0,1,0.5665742771431992
46,2,0.2960064424531331,2,1.0,3,0.5374107751597378
47,4,0.3539822104619299,4,0.9999999999930651,2,0.6767754963916144
48,4,0.4478222705038393,4,0.9998474291749838,3,0.38863190686575544
49,4,0.44041588526824965,4,0.9999999999944609,2,0.7006889016379545
50,2,0.3954477181977178,2,1.0,3,0.5459894641536128
51,6,0.2930626073405442,6,0.9999999999936464,4,0.7394374339904819
52,4,0.3269263506859078,4,1.0,2,0.64433895778823
53,3,0.34850310212724417,3,0.9999927719311907,2,0.5995469134740492
54,4,0.625802109485659,4,0.9999936714532134,2,0.7372113145435583
55,4,0.36463776960351146,4,0.9999992712076642,2,0.6553841996608636
56,4,0.4488885854108526,4,0.9999999764499871,2,0.624687876731155
57,4,0.37394214864532965,4,0.9999996264006926,2,0.612397705189718
58,4,0.5147350334623353,4,0.9999999924042295,2,0.6780224503004203
59,2,0.23669105172645727,2,1.0,3,0.46880882128530177
60,4,0.2856569337956545,4,0.9999999963978636,2,0.5904097076176157
61,5,0.27082604479003014,5,1.0,1,0.5632530920059087
62,4,0.4563041253792206,4,0.9999961798923116,2,0.6544249670794839
63,6,0.41691988956502024,6,0.9999999999999973,4,0.690453065053529
64,4,0.4667415367908858,4,0.9999942564611379,2,0.66706487725714
65,4,0.39797575771433286,4,0.9999796989233671,3,0.41997483162659954
66,2,0.20383423361463796,2,1.0,3,0.5680449014081159
67,2,0.1138957783811453,2,1.0,6,0.5
68,4,0.46901958039801234,4,0.9999966018170252,2,0.7059428404689775
69,3,0.2707248262286499,3,0.9999999999646132,2,0.6087129955466369
70,4,0.3321241394751025,4,0.9999999999976552,2,0.6632423750849181
71,2,0.3061835545933163,2,1.0,3,0.5249297115928117
72,4,0.4788625205882114,4,0.9999999999900906,2,0.6693388393301203
73,4,0.3702351389245542,4,0.9999999998850413,2,0.646999048749607
74,3,0.29245214423980714,3,0.9999999159810029,2,0.5114771554951002
75,5,0.37985874689726445,5,1.0,1,0.6484139111988018
76,4,0.5087222175127882,4,0.9999999601387652,2,0.678765336242307
77,4,0.5808374305746704,4,0.9989572123180969,2,0.6900835445222402
78,3,0.3146115398445159,3,0.9999999510934824,2,0.48390609889598146
79,4,0.40688922568333796,4,0.9999995001092189,3,0.39074346286369377
80,2,0.33758819841088983,2,0.9999976750575508,3,0.6191473887680432
81,5,0.3084042909679945,5,1.0,1,0.5002889738594982
82,2,0.2616748538041341,2,1.0,3,0.6265529591227481
83,2,0.3049700701807707,2,1.0,3,0.48934479041345474
84,6,0.36330137065528567,6,0.999999999999966,4,0.7522148608323141
85,4,0.4969766584253581,4,0.9999999152748464,2,0.7113189363316029
86,3,0.31688285098853436,3,0.9999952327561319,2,0.6344847977625487
87,5,0.45327703489979543,5,1.0,1,0.6076419702801221
88,4,0.32846767013393724,4,0.9999730029744547,2,0.6225507617842321
89,4,0.39164276707418466,4,0.9999999356077557,2,0.7110350407869634
90,5,0.4097273607260699,5,1.0,1,0.6325247544613088
91,4,0.5574446616779094,4,0.999999968649125,2,0.7022455989435953
92,4,0.37324822664316554,4,0.9999999993528883,2,0.5459602907604301
93,6,0.2113423881340042,6,1.0,3,0.5072178049072418
94,4,0.39265582734919485,4,0.9935691817241727,3,0.4372401502369815
95,5,0.38768037868709976,5,1.0,1,0.5600856129630061
96,2,0.3411182617262296,2,1.0,3,0.5071819347019301
97,6,0.403121562693209,6,0.9999999999726139,4,0.7215303374310262
98,3,0.2780292918185344,3,1.0,2,0.5976645907543376
99,4,0.4693653525712065,4,0.9999840750023163,2,0.7224252112059849
100,6,0.4363914998737079,6,0.9999999417936174,4,0.7332842335468148
101,4,0.391502685199013,4,0.9999323865865801,3,0.46388450636567546
102,2,0.3226329622828667,2,1.0,3,0.6074572488700133
103,1,0.48710637849796673,1,1.0,5,0.8052719679532925
104,4,0.35420517647220945,4,0.9999999862258271,2,0.6633399338770409
105,2,0.32810793224116613,2,1.0,3,0.6349819590575597
106,4,0.3501232369818616,4,0.9999992007319453,2,0.586845238639784
107,5,0.3889669849098435,5,0.9999999882770503,1,0.6067527154626644
108,5,0.29753583281211343,5,1.0,1,0.5744020687581626
109,4,0.4009828439879164,4,0.9999999987927433,2,0.6891097498248862
110,4,0.30431830295663587,4,0.9999999999957767,3,0.43895451216536524
111,6,0.39665570935030686,6,0.9999999300596687,4,0.7159137215140456
112,4,0.37523963182236036,4,0.9999997449859409,2,0.6698490017013612
113,4,0.4046931771501265,4,0.9999999999999944,2,0.6879123714243323
114,3,0.3387307079134244,3,0.999999982722999,1,0.5195456814560868
115,2,0.3648862547693612,2,1.0,3,0.5629312522977425
