File_Number,KMeans_Cluster,DBSCAN_Cluster,Agglomerative_Cluster
1,4,0,0
2,4,0,0
3,0,0,4
4,3,0,1
5,5,0,3
6,3,0,1
7,3,0,2
8,2,0,1
9,1,0,2
10,1,0,1
11,3,0,1
12,2,0,0
13,3,0,1
14,3,0,1
15,3,0,1
16,4,0,0
17,4,0,0
18,5,0,3
19,3,0,1
20,0,0,4
21,3,0,1
22,3,0,1
23,1,0,2
24,2,0,0
25,3,0,1
26,5,0,3
27,4,0,0
28,1,0,2
29,1,0,2
30,3,0,1
31,4,0,0
32,2,0,0
33,3,0,2
34,2,0,0
35,4,0,0
36,3,0,1
37,3,0,1
38,1,0,2
39,3,0,1
40,1,0,2
41,2,0,1
42,3,0,1
43,3,0,1
44,0,0,4
45,4,0,0
46,1,0,2
47,3,0,1
48,3,0,2
49,3,0,1
50,1,0,2
51,5,0,3
52,3,0,1
53,2,0,1
54,3,0,1
55,3,0,1
56,3,0,1
57,3,0,1
58,3,0,1
59,1,0,2
60,3,0,1
61,4,0,0
62,3,0,1
63,5,0,3
64,3,0,1
65,3,0,2
66,1,0,2
67,1,0,5
68,3,0,1
69,2,0,1
70,3,0,1
71,1,0,2
72,3,0,1
73,3,0,1
74,2,0,1
75,4,0,0
76,3,0,1
77,3,0,1
78,2,0,1
79,3,0,2
80,1,0,2
81,4,0,0
82,1,0,2
83,1,0,2
84,5,0,3
85,3,0,1
86,2,0,1
87,4,0,0
88,3,0,1
89,3,0,1
90,4,0,0
91,3,0,1
92,3,0,1
93,5,0,2
94,3,0,2
95,4,0,0
96,1,0,2
97,5,0,3
98,2,0,1
99,3,0,1
100,5,0,3
101,3,0,2
102,1,0,2
103,0,0,4
104,3,0,1
105,1,0,2
106,3,0,1
107,4,0,0
108,4,0,0
109,3,0,1
110,3,0,2
111,5,0,3
112,3,0,1
113,3,0,1
114,2,0,0
115,1,0,2
